income,savings,credit_usage,loan_balance,monthly_spending,investment_portfolio,risk_appetite,age,employment_status,education_level,credit_score,debt_to_income_ratio,monthly_essentials,monthly_discretionary,long_term_goals
5361,21415,4995,42266,3221,15931,medium,61,self-employed,PhD,850,8.81,1615,222,retirement
8521,29676,5199,20539,3482,6768,medium,44,retired,master's,590,3.02,2345,956,invest more
9137,11063,9363,11219,5986,2131,low,46,self-employed,master's,409,2.25,1554,1596,retirement
9345,48158,8143,15760,2991,6782,low,70,retired,master's,337,2.56,734,276,buy house
4005,6913,2890,20188,1384,1313,low,23,full-time,master's,309,5.76,918,407,travel
5956,34411,6121,7846,2443,9527,low,58,full-time,PhD,483,2.34,1020,282,invest more
3525,6098,5780,16333,1972,7413,medium,22,full-time,bachelor's,343,6.27,833,306,retirement
7118,48596,134,35861,2827,9977,high,41,full-time,PhD,486,5.06,1114,677,retirement
6067,30425,1186,9741,3132,19447,high,53,retired,PhD,395,1.8,678,550,travel
8680,18193,1035,4115,2877,2466,medium,55,retired,master's,455,0.59,900,606,travel
7181,10658,2920,13565,2181,10826,high,41,self-employed,PhD,470,2.3,550,488,travel
3573,14399,5709,3589,1866,1985,high,24,full-time,bachelor's,546,2.6,1270,346,retirement
8200,35846,4982,5712,3276,1655,high,42,self-employed,PhD,748,1.3,782,229,buy house
2457,6774,8945,26732,1196,16661,medium,27,full-time,master's,483,14.51,745,229,invest more
216,639,8789,13628,137,9560,low,19,unemployed,in school,438,103.3,500,200,buy house
7361,21242,2893,50423,3102,1385,high,66,self-employed,master's,702,7.24,1358,378,invest more
770,1370,5911,3818,238,19025,low,21,unemployed,in school,509,12.62,500,200,invest more
9908,24316,8848,36691,3204,14652,low,37,self-employed,PhD,672,4.6,627,411,retirement
9890,14881,8218,46525,4121,16812,low,56,retired,master's,323,5.53,1416,850,retirement
5875,23553,6141,4522,3258,8687,high,42,self-employed,PhD,671,1.81,1830,560,travel
2500,9002,1940,27359,813,11678,medium,29,full-time,bachelor's,342,11.71,511,232,travel
4734,16946,1270,29165,2394,2569,high,32,full-time,master's,797,6.43,1386,452,retirement
7933,29332,30,20246,4829,3523,medium,40,self-employed,PhD,568,2.56,1111,470,travel
7562,22071,1226,7724,4022,9043,high,65,self-employed,master's,620,1.18,1319,677,retirement
7580,11326,793,54653,5019,7423,low,62,retired,master's,304,7.31,3062,935,travel
8405,10380,8752,15440,3008,17781,high,40,full-time,master's,369,2.88,1063,756,retirement
5494,28733,8429,18421,2350,15755,medium,50,retired,PhD,543,4.89,883,291,buy house
8186,27438,1752,28698,4661,10651,high,43,self-employed,PhD,837,3.72,1644,708,retirement
4267,14574,4894,19434,2719,14129,high,31,full-time,master's,431,5.7,634,681,buy house
6322,26959,2352,49105,3497,16616,low,68,retired,PhD,743,8.14,1540,813,travel
6437,37886,3779,5727,3442,13700,medium,40,retired,PhD,677,1.48,2139,690,invest more
6243,41274,6175,9963,3711,14312,medium,60,self-employed,master's,369,2.58,2080,623,buy house
6283,26307,8103,16768,3052,10514,medium,54,full-time,PhD,378,3.96,981,359,travel
6302,27796,4506,13295,3903,9364,medium,58,self-employed,master's,549,2.82,1767,775,buy house
9709,39723,6987,40263,4202,13209,medium,64,self-employed,PhD,344,4.87,2431,1186,invest more
4860,8116,7747,261,2346,15361,low,27,self-employed,bachelor's,426,1.65,1112,421,buy house
5457,27545,4254,36238,3352,10795,medium,37,full-time,master's,356,7.42,597,905,travel
9333,28249,7836,30940,3896,11882,medium,37,full-time,master's,761,4.15,672,464,buy house
8829,39875,7944,22683,5823,18274,low,37,full-time,master's,665,3.47,1877,330,travel
2957,16117,5105,20836,1792,11248,medium,29,full-time,bachelor's,521,8.77,779,469,travel
9763,38649,8069,6549,5235,11610,high,53,retired,PhD,507,1.5,2119,983,invest more
1511,33,9903,8744,651,8116,high,18,part-time,high school,829,12.33,500,200,travel
7470,18190,4865,36519,2558,14982,high,45,self-employed,PhD,403,5.54,1429,631,invest more
4403,10507,4659,5890,1614,2792,high,25,full-time,master's,602,2.4,767,329,retirement
3910,10474,1529,1614,2352,3205,high,29,full-time,master's,350,0.8,1513,338,buy house
3532,14404,7349,326,1913,6196,low,28,full-time,master's,396,2.17,789,285,buy house
2674,12539,6638,13831,1131,1169,low,23,self-employed,bachelor's,300,7.65,600,319,travel
4058,17661,547,30819,2656,18777,medium,32,full-time,master's,763,7.73,833,755,invest more
7692,45358,7941,29987,4836,3221,medium,57,retired,master's,317,4.93,2386,929,travel
6283,32768,8107,67742,3235,17017,high,68,full-time,master's,361,12.07,1236,803,buy house
1100,1538,7071,18912,765,8141,low,21,part-time,high school,354,23.6,516,210,buy house
7705,47498,8707,59212,2857,18712,high,63,full-time,PhD,670,8.81,1058,411,retirement
7851,40422,2863,16529,2454,16901,low,60,retired,PhD,676,2.47,1551,634,retirement
9653,47874,1011,24778,6152,13510,high,44,retired,master's,306,2.67,2377,1409,travel
7171,39826,8864,10188,3464,19016,medium,57,retired,master's,654,2.66,2310,386,retirement
1221,1349,447,14563,726,3930,medium,19,part-time,in school,427,12.28,505,210,travel
2632,18890,4004,20310,1060,2184,medium,23,full-time,master's,425,9.23,728,310,retirement
6252,12970,2153,10687,3504,17447,high,59,self-employed,master's,746,2.05,1284,709,buy house
3327,15531,2722,18378,2296,11368,low,26,full-time,master's,770,6.34,1174,646,travel
7072,41700,5157,32495,2633,11319,medium,50,full-time,PhD,475,5.32,1089,786,invest more
1201,4469,2258,18655,605,19758,high,19,part-time,high school,726,17.4,500,200,invest more
5741,47187,4750,49286,2895,11467,high,51,self-employed,PhD,842,9.41,1890,552,retirement
1667,4358,7063,15340,986,1316,medium,18,unemployed,high school,441,13.43,515,226,invest more
8515,30052,4525,19733,3142,2517,high,49,full-time,PhD,601,2.85,725,382,invest more
6333,14531,4517,23340,2545,15906,low,46,retired,PhD,618,4.4,824,213,travel
2041,11497,2460,28867,689,9144,high,32,full-time,bachelor's,666,15.34,500,201,buy house
7812,30286,7666,54158,3638,4631,medium,59,full-time,master's,689,7.91,577,949,invest more
9046,35258,2657,17368,2742,16788,medium,47,retired,master's,766,2.21,812,301,retirement
2961,13006,2544,29627,1894,9125,high,33,self-employed,master's,612,10.86,522,518,invest more
6748,35948,9023,49019,3812,16150,low,65,full-time,PhD,618,8.6,957,929,buy house
1252,3799,2136,7426,712,9920,low,19,part-time,in school,326,7.63,500,205,invest more
7935,34560,1597,5733,4816,12567,high,36,self-employed,master's,794,0.92,1668,641,buy house
